# damping:                 2.000000E-01
# drive amplitude          1.037500E+00
# drive frequency:         2.000000E+00
# dt:                      3.926991E-03
# periods:                200000
# points per period:       800
#
#     time             phi             omega
   6.281206E+005  -3.747338E-001  -2.719261E+000
   6.281238E+005   2.050770E+000  -1.832099E+000
   6.281269E+005  -3.620920E-001  -3.051382E+000
   6.281300E+005   1.404801E+000  -2.363894E+000
   6.281332E+005  -2.483638E-001  -2.710511E+000
   6.281363E+005   1.925739E+000  -1.992426E+000
   6.281395E+005  -4.472154E-001  -2.854058E+000
   6.281426E+005   1.832873E+000  -2.026757E+000
   6.281457E+005  -4.182434E-001  -2.827061E+000
   6.281489E+005   1.866511E+000  -2.003588E+000
   6.281520E+005  -4.229429E-001  -2.846354E+000
   6.281552E+005   1.831153E+000  -2.034732E+000
   6.281583E+005  -4.224125E-001  -2.819045E+000
   6.281615E+005   1.886023E+000  -1.984240E+000
   6.281646E+005  -4.205124E-001  -2.865032E+000
   6.281677E+005   1.792062E+000  -2.070125E+000
   6.281709E+005  -4.194698E-001  -2.791212E+000
   6.281740E+005   1.940855E+000  -1.932315E+000
   6.281772E+005  -4.099060E-001  -2.920225E+000
   6.281803E+005   1.676856E+000  -2.168649E+000
   6.281834E+005  -3.923038E-001  -2.733366E+000
   6.281866E+005   2.037958E+000  -1.841053E+000
   6.281897E+005  -3.675395E-001  -3.037466E+000
   6.281929E+005   1.432759E+000  -2.346742E+000
   6.281960E+005  -2.675087E-001  -2.706719E+000
   6.281992E+005   1.957141E+000  -1.956136E+000
   6.282023E+005  -4.354594E-001  -2.894594E+000
   6.282054E+005   1.744089E+000  -2.107128E+000
   6.282086E+005  -4.082076E-001  -2.768046E+000
   6.282117E+005   1.979564E+000  -1.896794E+000
   6.282149E+005  -3.978353E-001  -2.962828E+000
   6.282180E+005   1.588143E+000  -2.238367E+000
   6.282211E+005  -3.561028E-001  -2.710407E+000
   6.282243E+005   2.050453E+000  -1.837173E+000
   6.282274E+005  -3.668252E-001  -3.045462E+000
   6.282306E+005   1.418293E+000  -2.355064E+000
   6.282337E+005  -2.573791E-001  -2.709100E+000
   6.282369E+005   1.939854E+000  -1.976068E+000
   6.282400E+005  -4.423156E-001  -2.871968E+000
   6.282431E+005   1.793549E+000  -2.062985E+000
   6.282463E+005  -4.159956E-001  -2.798157E+000
   6.282494E+005   1.923735E+000  -1.949886E+000
   6.282526E+005  -4.151559E-001  -2.900650E+000
   6.282557E+005   1.718292E+000  -2.134004E+000
   6.282588E+005  -4.048023E-001  -2.750478E+000
   6.282620E+005   2.013333E+000  -1.863354E+000
   6.282651E+005  -3.809189E-001  -3.006172E+000
   6.282683E+005   1.497394E+000  -2.304058E+000
   6.282714E+005  -3.080122E-001  -2.703055E+000
   6.282745E+005   2.012879E+000  -1.888751E+000
   6.282777E+005  -4.028492E-001  -2.977245E+000
   6.282808E+005   1.564821E+000  -2.253225E+000
   6.282840E+005  -3.433645E-001  -2.709474E+000
   6.282871E+005   2.038963E+000  -1.852487E+000
   6.282903E+005  -3.783293E-001  -3.024654E+000
   6.282934E+005   1.462632E+000  -2.326107E+000
   6.282965E+005  -2.861387E-001  -2.705388E+000
   6.282997E+005   1.982437E+000  -1.925675E+000
   6.283028E+005  -4.224021E-001  -2.930776E+000
   6.283060E+005   1.665182E+000  -2.174259E+000
   6.283091E+005  -3.860501E-001  -2.733114E+000
   6.283122E+005   2.032628E+000  -1.848187E+000
   6.283154E+005  -3.727616E-001  -3.027916E+000
   6.283185E+005   1.453112E+000  -2.333411E+000
